Molecule,=O,O,C,N,-O,=N,=N-O,-C(=O)H,-C#CH,-C#N,-OEt,-OMe,-N,-C(=O)N,-X,F,-CF3,=NCH3,-cPropyl,-tBu,-C(=O)OMe,-C(=O)O,-NC(=O)CH3,U0,U,H,G,Cv
OC1=CN=NC=N1,0.0,1.0,3,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-355.513035,-355.508016,-355.507072,-355.541787,18.491
OC1=CN=NN=N1,0.0,1.0,2,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-371.504707,-371.499605,-371.498661,-371.533604,18.347
OC1=NC(O)=NN1,0.0,2.0,2,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.662003,-392.656302,-392.655357,-392.691229,21.127
OC1=NC=CN=N1,0.0,1.0,3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-355.510313,-355.5053,-355.504356,-355.539069,18.507
OC1=NC=NN=N1,0.0,1.0,2,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-371.537915,-371.532929,-371.531984,-371.566733,17.786
OC1=NN=C(O)N1,0.0,2.0,2,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.650949,-392.645218,-392.644274,-392.68019,21.373
OC1=NNC(=N)N1,0.0,1.0,2,4.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-372.765028,-372.759054,-372.75811,-372.794502,22.518
OC1=NNC(=O)N1,7.0,2.0,2,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.676111,-392.670152,-392.669208,-392.705853,21.422
OC1=NNC(=O)O1,8.0,3.0,2,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-412.548009,-412.542359,-412.541415,-412.577533,19.952
OC1=NNN=C1O,0.0,2.0,2,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.627857,-392.621697,-392.620753,-392.657653,21.908
OC1=NOC(=N)O1,0.0,3.0,2,2.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-412.494644,-412.489287,-412.488342,-412.523776,19.522
OC1=NOC(=O)O1,7.0,4.0,2,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-432.401755,-432.396621,-432.395677,-432.43074,18.291
OCC1=CC=NN1,0.0,1.0,4,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-340.647778,-340.641417,-340.640472,-340.678405,22.653
OCC1=CC=NO1,0.0,2.0,4,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360.499243,-360.493094,-360.49215,-360.529707,21.682
OCC1=CN=NN1,0.0,1.0,3,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356.680129,-356.673745,-356.672801,-356.711319,21.885
OCC1=CN=NO1,0.0,2.0,3,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.540686,-376.53454,-376.533596,-376.571056,21.361
OCC1=CNN=C1,0.0,1.0,4,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-340.646073,-340.639749,-340.638805,-340.676943,22.578
OCC1=CNN=N1,0.0,1.0,3,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356.683566,-356.677201,-356.676257,-356.714708,21.929
OCC1=CON=C1,0.0,2.0,4,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360.495137,-360.489,-360.488056,-360.525683,21.588
OCC1=CON=N1,0.0,2.0,3,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.538277,-376.532007,-376.531063,-376.569087,21.34
OCC1=NC=NN1,0.0,1.0,3,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356.712771,-356.706413,-356.705469,-356.744336,21.546
OCC1=NC=NO1,0.0,2.0,3,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.564691,-376.5586,-376.557655,-376.595223,20.626
OCC1=NNC=C1,0.0,1.0,4,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-340.646592,-340.640167,-340.639223,-340.677445,22.914
OCC1=NNC=N1,0.0,1.0,3,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356.712228,-356.706155,-356.705211,-356.742719,21.338
OCC1=NNN=C1,0.0,1.0,3,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356.688211,-356.681916,-356.680972,-356.719275,21.63
OCC1=NOC=C1,0.0,2.0,4,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360.496984,-360.490747,-360.489803,-360.52764,21.848
OCC1=NOC=N1,0.0,2.0,3,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.563238,-376.557315,-376.556371,-376.593512,20.437
OCC1=NON=C1,0.0,2.0,3,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.521083,-376.514924,-376.51398,-376.551913,20.953
OCC1=NON=N1,0.0,2.0,2,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.565188,-392.559225,-392.55828,-392.595658,20.149
ON=C1C=CNC=C1,0.0,1.0,5,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-378.713196,-378.706283,-378.705338,-378.744036,26.577
ON=C1C=COC=C1,0.0,2.0,5,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-398.579695,-398.573169,-398.572225,-398.610316,24.876
ON=C1C=CNN=C1,0.0,1.0,4,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-394.740014,-394.733273,-394.732329,-394.770823,25.456
ON=C1C=CON=C1,0.0,2.0,4,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-414.586179,-414.579681,-414.578737,-414.616878,24.302
ON=C1C=NON=C1,0.0,2.0,3,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-430.598508,-430.592081,-430.591137,-430.629233,23.658
CC(=NO)C(C)(C)C,0.0,1.0,6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-366.238594,-366.228499,-366.227555,-366.272699,37.732
CC(=NO)C(C)(C)O,0.0,2.0,5,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-402.167398,-402.15732,-402.156375,-402.201781,36.845
CC(=O)CC(C)=NO,0.0,2.0,5,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.98659,-400.976999,-400.976055,-401.021999,33.078
CC(CC(C)=NO)=NO,0.0,2.0,5,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-456.274359,-456.263447,-456.262503,-456.31175,38.018
CC(CC(N)=O)=NO,0.0,2.0,4,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417.059279,-417.049833,-417.048889,-417.095303,32.585
CC(C)CC(C)=NO,0.0,1.0,6,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-366.240676,-366.230361,-366.229416,-366.276382,36.801
CC(O)CC(C)=NO,0.0,2.0,5,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-402.163339,-402.153281,-402.152337,-402.198918,35.582
CC1(C)CC(C1)=NO,0.0,1.0,6,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-365.021781,-365.012945,-365.012001,-365.055973,33.286
CC1(O)CC(C1)=NO,0.0,2.0,5,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.948972,-400.940452,-400.939507,-400.981779,32.203
CC#CCC(C)=NO,0.0,1.0,6,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-363.806149,-363.796006,-363.795062,-363.843823,33.775
CC(=NO)C#CC#C,0.0,1.0,6,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361.37166,-361.36287,-361.361926,-361.405371,30.759
CC(=NO)C#CC#N,0.0,1.0,5,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-377.470281,-377.461923,-377.460979,-377.503856,28.312
CC(=NO)C#CC=O,2.0,2.0,5,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-398.536399,-398.527448,-398.526503,-398.571419,29.331
CC(CCC#C)=NO,0.0,1.0,6,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-363.795555,-363.786012,-363.785068,-363.830534,33.577
CC(CCC#N)=NO,0.0,1.0,5,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-379.903682,-379.894511,-379.893567,-379.938544,31.433
CC(CCC=O)=NO,2.0,2.0,5,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.973076,-400.963491,-400.962547,-401.008934,32.368
CC(CNC=O)=NO,2.0,2.0,4,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417.047906,-417.03859,-417.037646,-417.083507,31.524
CC(COC=N)=NO,0.0,2.0,4,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417.012895,-417.003688,-417.002743,-417.048094,31.279
CC(COC=O)=NO,2.0,3.0,4,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-436.915926,-436.90686,-436.905916,-436.95116,30.325
CC(=NO)C#CCO,0.0,2.0,5,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-399.721231,-399.71153,-399.710586,-399.757788,32.229
CCC#CC(C)=NO,0.0,1.0,6,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-363.807196,-363.797334,-363.796389,-363.843771,33.471
CC(CCCO)=NO,0.0,2.0,5,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-402.159485,-402.149321,-402.148376,-402.195685,34.921
CCCCC(C)=NO,0.0,1.0,6,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-366.239746,-366.229382,-366.228438,-366.276079,36.184
CCOCC(C)=NO,0.0,2.0,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-402.156301,-402.146194,-402.14525,-402.192448,34.493
COCCC(C)=NO,0.0,2.0,5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-402.152054,-402.141941,-402.140996,-402.188143,34.394
CC1(C)CCC1=NO,0.0,1.0,6,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-365.021618,-365.012529,-365.011585,-365.056651,33.427
CC1(C)NCC1=NO,0.0,1.0,5,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-381.061103,-381.052279,-381.051335,-381.09405,32.717
CC1(C)OCC1=NO,0.0,2.0,5,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.944193,-400.935445,-400.934501,-400.977158,31.893
CC1(O)CCC1=NO,0.0,2.0,5,1.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.947904,-400.939105,-400.938161,-400.981336,32.281
ON=C(CC#C)C#C,0.0,1.0,6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361.34644,-361.337818,-361.336874,-361.379798,30.819
