index,smiles,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
3952,H,3.3514,51.43,-0.2479,0.0036,0.2514,715.1474,0.091656,-356.68356,-356.67722,-356.67627,-356.71472,21.929
3953,H,2.3071,51.11,-0.2596,-0.0155,0.2442,735.7169,0.091082,-360.49515,-360.489,-360.48807,-360.5257,21.588
3954,H,4.0075,48.05,-0.2671,-0.0365,0.2306,702.6245,0.078119,-376.53827,-376.532,-376.53107,-376.5691,21.34
3955,H,3.71,50.79,-0.2544,0.0172,0.2715,692.3367,0.092473,-356.71277,-356.70642,-356.70547,-356.74432,21.546
3956,H,0.737,47.37,-0.2859,-0.034,0.2519,683.7226,0.079215,-376.5647,-376.5586,-376.55765,-376.5952,20.626
3957,H,1.2726,55.45,-0.2399,0.025,0.2649,735.4575,0.103848,-340.6466,-340.64017,-340.63922,-340.67746,22.914
3958,H,4.123,50.74,-0.2596,1e-04,0.2597,695.0003,0.092814,-356.71222,-356.70615,-356.7052,-356.7427,21.338
3959,H,1.6896,51.18,-0.2564,-0.0018,0.2546,712.6826,0.09239,-356.6882,-356.68192,-356.68097,-356.71927,21.63
3960,H,2.6536,51.59,-0.2619,-0.0093,0.2526,720.1415,0.090699,-360.49698,-360.49075,-360.4898,-360.52765,21.848
3961,H,2.1685,47.11,-0.2846,-0.0343,0.2503,683.3589,0.079608,-376.56323,-376.5573,-376.55637,-376.5935,20.437
3962,H,4.3064,47.81,-0.2888,-0.044,0.2448,700.1319,0.078554,-376.5211,-376.51492,-376.51398,-376.5519,20.953
3963,H,1.922,44.22,-0.3046,-0.0789,0.2257,670.7022,0.066444,-392.5652,-392.55923,-392.5583,-392.59567,20.149
3964,H,4.0801,72.24,-0.1707,0.0003,0.1711,930.9477,0.109378,-378.7132,-378.70627,-378.70535,-378.74405,26.577
3965,H,1.1191,67.42,-0.198,-0.0184,0.1797,912.1028,0.09696,-398.57968,-398.57318,-398.57224,-398.61032,24.876
3966,H,2.8286,68.93,-0.1864,-0.0289,0.1575,900.2248,0.097542,-394.74002,-394.73328,-394.73233,-394.7708,25.456
3967,H,1.7744,64.54,-0.2178,-0.054,0.1638,886.0599,0.084181,-414.58618,-414.57968,-414.57874,-414.61688,24.302
3968,H,3.5253,61.38,-0.2438,-0.0741,0.1697,864.7768,0.071577,-430.5985,-430.59207,-430.59113,-430.62924,23.658
3969,H,0.5546,77.68,-0.2396,0.019,0.2586,1098.6216,0.185185,-366.2386,-366.2285,-366.22757,-366.2727,37.732
3970,H,1.3718,70.74,-0.2429,0.013,0.2558,1052.7565,0.161039,-402.1674,-402.15732,-402.15637,-402.20178,36.845
3971,H,2.0226,68.73,-0.236,-0.0263,0.2096,1137.3816,0.138424,-400.9866,-400.977,-400.97604,-401.022,33.078
3972,H,0.227,79.11,-0.2435,-0.0062,0.2373,1551.2606,0.155061,-456.27435,-456.26346,-456.2625,-456.31174,38.018
3973,H,3.033,64.58,-0.2384,-0.0054,0.233,1107.8761,0.128252,-417.05927,-417.04984,-417.0489,-417.0953,32.585
3974,H,0.677,78.35,-0.2384,0.0166,0.255,1314.0319,0.185482,-366.24066,-366.23035,-366.22943,-366.27637,36.801
3975,H,1.5631,71.09,-0.2409,0.0109,0.2518,1268.2618,0.161999,-402.16333,-402.1533,-402.15234,-402.1989,35.582
3976,H,1.016,75.8,-0.2397,0.0087,0.2484,1136.4623,0.163096,-365.0218,-365.01294,-365.012,-365.05597,33.286
3977,H,1.7196,68.69,-0.2416,0.0078,0.2494,1079.8549,0.139434,-400.94897,-400.94046,-400.9395,-400.98178,32.203
3978,H,0.8255,76.77,-0.2431,0.012,0.255,1454.7174,0.138461,-363.80615,-363.79602,-363.79507,-363.8438,33.775
3979,H,0.8166,87.22,-0.2314,-0.0561,0.1754,1447.2065,0.091995,-361.37167,-361.36288,-361.36194,-361.40536,30.759
3980,H,5.2265,78.7,-0.262,-0.081,0.181,1416.177,0.081977,-377.47028,-377.4619,-377.46097,-377.50385,28.312
3981,H,4.1003,76.59,-0.2568,-0.0857,0.1711,1464.6313,0.092065,-398.5364,-398.52744,-398.5265,-398.5714,29.331
3982,H,0.7158,74.57,-0.2443,0.0082,0.2525,1428.3168,0.138695,-363.79556,-363.786,-363.78506,-363.83054,33.577
3983,H,4.0175,69.37,-0.2586,-0.006,0.2526,1396.4666,0.128485,-379.9037,-379.8945,-379.89355,-379.93854,31.433
3984,H,2.2509,69.61,-0.2463,-0.0258,0.2205,1466.419,0.138576,-400.97308,-400.9635,-400.96255,-401.00894,32.368
3985,H,3.7818,66.02,-0.2475,-0.0006,0.2469,1317.205,0.12826,-417.0479,-417.0386,-417.03766,-417.0835,31.524
3986,H,3.0391,66.7,-0.2593,-0.0074,0.2519,1203.2382,0.128105,-417.0129,-417.0037,-417.00275,-417.0481,31.279
3987,H,3.6963,62.29,-0.2646,-0.0126,0.252,1209.8175,0.115763,-436.91592,-436.90686,-436.9059,-436.95117,30.325
3988,H,1.2814,74.49,-0.227,-0.0242,0.2028,1562.3381,0.115331,-399.72122,-399.71152,-399.71057,-399.75778,32.229
3989,H,0.8541,81.69,-0.2238,-0.0207,0.2031,1600.6746,0.139078,-363.8072,-363.79733,-363.7964,-363.84378,33.471
3990,H,1.4599,72.0,-0.2396,0.0169,0.2565,1586.8145,0.162524,-402.1595,-402.14932,-402.14838,-402.19568,34.921
3991,H,0.7178,79.32,-0.2378,0.0182,0.256,1654.9943,0.18597,-366.23975,-366.22937,-366.22842,-366.2761,36.184
3992,H,1.0087,73.21,-0.2454,0.01,0.2554,1510.7112,0.161994,-402.1563,-402.14618,-402.14526,-402.19244,34.493
3993,H,1.2366,72.58,-0.2425,0.0125,0.255,1551.0238,0.162185,-402.15207,-402.14194,-402.141,-402.18814,34.394
3994,H,0.7395,75.32,-0.2401,0.0102,0.2503,1026.1628,0.163126,-365.0216,-365.01254,-365.0116,-365.05664,33.427
3995,H,1.198,71.91,-0.2278,0.0066,0.2344,1003.1681,0.151962,-381.0611,-381.05228,-381.05133,-381.09406,32.717
3996,H,1.0785,68.31,-0.2459,0.001,0.2469,986.2809,0.139181,-400.94418,-400.93546,-400.9345,-400.97717,31.893
3997,H,0.9421,68.25,-0.2486,0.0004,0.249,983.7517,0.139515,-400.9479,-400.93912,-400.93817,-400.98132,32.281
3998,H,0.6382,70.97,-0.2459,-0.0376,0.2084,1091.3741,0.091451,-361.34644,-361.33783,-361.33688,-361.3798,30.819
3999,H,4.0964,65.92,-0.2614,-0.054,0.2074,1060.7386,0.081305,-377.45374,-377.44553,-377.44458,-377.4869,28.613
4000,H,2.3826,66.14,-0.2489,-0.0553,0.1935,1090.185,0.091529,-398.52725,-398.51865,-398.5177,-398.56146,29.522
4001,H,0.8254,78.37,-0.2297,-0.051,0.1787,1266.4261,0.091713,-361.35974,-361.35068,-361.34973,-361.39468,30.82
4002,H,1.0207,73.63,-0.2235,-0.0215,0.202,1277.0374,0.11518,-399.7234,-399.71365,-399.7127,-399.76065,32.41
4003,H,0.909,80.29,-0.2251,-0.0212,0.2039,1350.6201,0.139236,-363.80673,-363.79688,-363.79593,-363.84357,33.44
4004,H,0.5502,73.16,-0.2489,0.0052,0.2541,1156.2593,0.139159,-363.79324,-363.78394,-363.783,-363.82764,33.409
4005,H,3.3164,68.44,-0.2646,-0.0094,0.2551,1089.843,0.128611,-379.90155,-379.89258,-379.89163,-379.93588,31.419
4006,H,2.1277,68.88,-0.2455,-0.0377,0.2078,1165.3207,0.139195,-400.9721,-400.96274,-400.9618,-401.0075,32.147
4007,H,0.2935,75.98,-0.2393,-0.0296,0.2097,1307.6757,0.139005,-363.79465,-363.78528,-363.78433,-363.82904,33.395
4008,H,1.289,69.79,-0.2408,-0.0319,0.209,1216.849,0.114999,-399.70105,-399.69186,-399.69092,-399.73535,31.602
4009,H,1.1136,68.57,-0.2417,-0.0329,0.2088,1242.0913,0.115546,-399.7146,-399.7054,-399.70447,-399.74878,32.157
4010,H,6.5567,69.47,-0.2347,-0.0764,0.1583,1242.6902,0.129307,-416.9917,-416.983,-416.98206,-417.0255,29.84
4011,H,0.9709,71.2,-0.2417,0.0087,0.2504,1339.6576,0.163301,-402.15857,-402.1487,-402.14777,-402.1938,34.693
4012,H,0.7511,70.69,-0.2502,0.0026,0.2528,1111.3942,0.163061,-402.14914,-402.13937,-402.13843,-402.18427,34.114
4013,H,0.6297,78.63,-0.2383,0.0158,0.2541,1400.8011,0.186636,-366.2381,-366.228,-366.22705,-366.27347,36.004
4014,H,1.49,71.4,-0.254,-0.001,0.253,1361.5638,0.163628,-402.15884,-402.14926,-402.14832,-402.19348,34.273
4015,H,8.7692,71.67,-0.146,0.0102,0.1562,1081.7133,0.153041,-418.1386,-418.12955,-418.1286,-418.1725,32.25
4016,H,2.4532,63.88,-0.2561,-0.008,0.248,1243.393,0.140288,-438.07928,-438.06995,-438.069,-438.11386,32.969
4017,H,0.1976,79.57,-0.2313,-0.0521,0.1792,1326.208,0.108567,-453.82867,-453.8189,-453.81796,-453.86365,34.926
4018,H,8.6565,66.06,-0.2025,-0.062,0.1405,935.7705,0.083084,-410.8145,-410.8064,-410.80545,-410.84686,28.975
4019,H,8.9283,66.52,-0.1824,-0.0552,0.1272,971.8243,0.093351,-431.87735,-431.86908,-431.86813,-431.9099,29.73
4020,H,0.4104,73.29,-0.2469,0.0089,0.2557,1098.4305,0.138312,-363.79443,-363.78485,-363.7839,-363.82886,34.242
4021,H,3.6702,68.16,-0.2637,-0.0096,0.2542,1073.4763,0.128017,-379.90234,-379.8931,-379.89215,-379.9368,32.14
4022,H,0.6098,75.65,-0.2379,-0.0287,0.2092,1032.237,0.138845,-363.79446,-363.78506,-363.78412,-363.82892,33.969
4023,H,1.0923,68.54,-0.2437,-0.0383,0.2054,986.8855,0.115179,-399.7179,-399.7088,-399.70786,-399.7514,32.789
4024,H,2.1285,69.05,-0.2434,-0.0371,0.2064,1093.2303,0.138306,-400.97437,-400.96478,-400.96384,-401.0095,33.093
4025,H,0.0185,81.65,-0.2283,-0.0329,0.1955,1416.6738,0.156231,-456.27597,-456.26544,-456.2645,-456.312,37.568
4026,H,3.2707,65.16,-0.2519,-0.038,0.2139,1032.5375,0.128956,-417.06064,-417.0514,-417.05045,-417.0954,32.426
4027,H,3.2795,67.1,-0.247,-0.0365,0.2105,1147.9677,0.128485,-417.05777,-417.04834,-417.0474,-417.09262,32.091
4028,H,6.1903,67.55,-0.1725,-0.0351,0.1374,992.4534,0.117945,-433.07166,-433.0629,-433.06195,-433.10477,31.735
4029,H,2.1248,70.32,-0.2491,0.0065,0.2556,1109.8885,0.162711,-402.15994,-402.15018,-402.14923,-402.19434,35.258
4030,H,0.5175,77.58,-0.2402,0.0158,0.256,1158.5713,0.186407,-366.2373,-366.22736,-366.2264,-366.2715,36.564
4031,H,1.4951,70.96,-0.2421,0.01,0.2521,1101.6544,0.162644,-402.16254,-402.15268,-402.15173,-402.19696,35.506
4032,H,2.3481,63.95,-0.255,-0.006,0.249,1172.7686,0.139445,-438.08777,-438.0783,-438.07736,-438.12244,33.634
4033,H,1.5359,70.68,-0.2433,0.0134,0.2567,1220.9993,0.162312,-402.16003,-402.14996,-402.14902,-402.19504,35.636
4034,H,0.616,78.27,-0.2384,0.0195,0.2579,1282.6274,0.185737,-366.23807,-366.22778,-366.22684,-366.2733,36.838
4035,H,1.7157,71.44,-0.2452,0.0095,0.2547,1248.7816,0.16182,-402.16342,-402.15317,-402.15222,-402.19897,35.823
4036,H,1.0096,71.98,-0.2441,0.0125,0.2567,1205.7672,0.161531,-402.15384,-402.14362,-402.14267,-402.18945,35.347
4037,H,0.5893,74.93,-0.235,0.0158,0.2508,1054.4434,0.163085,-365.01843,-365.00925,-365.0083,-365.05225,33.964
4038,H,1.2266,71.48,-0.2363,0.0028,0.2392,1030.5544,0.151866,-381.0597,-381.05066,-381.0497,-381.0934,33.05
4039,H,1.4383,67.48,-0.2516,0.0029,0.2545,1013.9501,0.138727,-400.94223,-400.9331,-400.93216,-400.97635,32.456
4040,H,0.8852,68.02,-0.237,0.0063,0.2432,1012.1215,0.139406,-400.94382,-400.93494,-400.934,-400.97742,32.715
4041,H,2.9305,68.46,-0.2498,-0.0787,0.1711,993.1983,0.095483,-398.59482,-398.5879,-398.58694,-398.6261,25.642
4042,H,0.5351,83.3,-0.2196,-0.0621,0.1575,1410.0958,0.112126,-453.88135,-453.87314,-453.8722,-453.91425,30.721
4043,H,2.5911,62.63,-0.2627,-0.0171,0.2456,1008.9265,0.107142,-415.83508,-415.82773,-415.82678,-415.86752,26.637
4044,H,2.1549,64.68,-0.2459,-0.0282,0.2177,1015.6061,0.11799,-399.79376,-399.78625,-399.7853,-399.82602,27.775
4045,H,0.2856,75.69,-0.2461,-0.006,0.2401,1346.8455,0.134974,-455.08063,-455.07196,-455.071,-455.11426,32.599
4046,H,3.3688,61.51,-0.2502,-0.011,0.2392,1012.9119,0.107587,-415.86346,-415.85608,-415.85513,-415.8956,26.957
4047,H,3.7377,57.53,-0.269,-0.0249,0.2441,988.0664,0.095044,-435.73724,-435.7301,-435.72916,-435.76932,25.653
4048,H,1.8225,78.45,-0.2109,-0.0193,0.1916,1098.4078,0.141862,-363.85287,-363.84473,-363.8438,-363.88577,29.887
4049,H,2.8045,75.27,-0.1832,-0.0079,0.1752,1066.8759,0.13065,-379.9009,-379.89294,-379.892,-379.93307,29.551
4050,H,3.6331,75.67,-0.1852,0.0046,0.1898,1059.599,0.131388,-379.90808,-379.90015,-379.8992,-379.94052,29.784
4051,H,0.916,74.19,-0.2302,0.0126,0.2428,1125.6263,0.141322,-363.84695,-363.83893,-363.83798,-363.87933,29.983
4052,H,1.3624,76.6,-0.2181,-0.0255,0.1926,1100.6088,0.142203,-363.845,-363.83713,-363.83618,-363.87756,29.562
4053,H,2.6455,75.64,-0.1809,-0.0115,0.1695,1079.8914,0.130557,-379.88754,-379.8796,-379.87866,-379.91968,28.946
4054,H,0.9572,69.11,-0.2298,-0.0379,0.1919,1043.7428,0.118789,-399.76825,-399.76065,-399.7597,-399.8009,28.25
4055,H,1.0211,67.29,-0.2467,0.0034,0.2501,1010.7891,0.141572,-400.96735,-400.95935,-400.9584,-400.9998,29.674
4056,H,0.9579,75.11,-0.2366,0.0147,0.2513,1165.7622,0.165536,-365.04956,-365.04132,-365.04037,-365.08206,31.286
4057,H,0.9769,67.71,-0.2405,0.0094,0.2498,1108.2604,0.14201,-400.9727,-400.9647,-400.96378,-401.00504,30.081
4058,H,1.2283,70.27,-0.2362,0.0062,0.2423,1020.3552,0.129957,-379.8401,-379.83243,-379.83148,-379.87186,29.032
4059,H,2.0126,66.33,-0.2462,0.0007,0.2469,1009.3815,0.116784,-399.71823,-399.7106,-399.70966,-399.74997,28.58
4060,H,1.4832,73.82,-0.2265,0.0186,0.2451,1038.1594,0.141222,-363.79782,-363.79,-363.78906,-363.82965,29.969
4061,H,1.9294,66.28,-0.231,0.0141,0.2451,989.1718,0.117394,-399.7186,-399.71103,-399.71008,-399.75024,28.907
4062,H,0.3517,72.32,-0.2474,0.0018,0.2491,1169.3727,0.116724,-362.57455,-362.56653,-362.56558,-362.60727,29.716
4063,H,3.5412,66.86,-0.2618,-0.0144,0.2473,1137.5486,0.106582,-378.68176,-378.6741,-378.67316,-378.7143,27.515
4064,H,2.0829,67.18,-0.2536,-0.0308,0.2228,1214.0994,0.116728,-399.75204,-399.74405,-399.7431,-399.78537,28.481
4065,H,3.6192,64.67,-0.2514,-0.0197,0.2317,1156.6125,0.106128,-415.8148,-415.80695,-415.806,-415.8478,27.158
4066,H,1.0773,76.33,-0.2392,0.0103,0.2496,1342.7661,0.16393,-365.01846,-365.0096,-365.00867,-365.05234,32.32
4067,H,0.8978,73.79,-0.2197,0.0058,0.2255,1289.8062,0.152306,-381.0505,-381.04193,-381.041,-381.08374,31.231
4068,H,1.3596,69.84,-0.2423,0.0063,0.2485,1260.0502,0.14004,-400.9337,-400.92517,-400.92422,-400.96707,30.669
4069,H,1.7717,68.98,-0.2403,0.0083,0.2487,1259.3462,0.140452,-400.93887,-400.93024,-400.9293,-400.97342,31.014
4070,H,0.6798,75.47,-0.239,0.0163,0.2553,1289.368,0.163655,-365.01517,-365.00598,-365.00504,-365.05005,32.984
4071,H,1.9976,68.25,-0.2421,0.0128,0.255,1204.5242,0.13956,-400.9364,-400.92746,-400.9265,-400.97134,31.217
4072,H,0.791,72.34,-0.2375,0.0128,0.2503,1199.8632,0.151986,-381.0493,-381.0403,-381.03937,-381.08377,31.843
4073,H,0.8563,73.19,-0.2406,0.0061,0.2467,1116.7773,0.141035,-363.79437,-363.7866,-363.78564,-363.82684,29.615
4074,H,1.4796,69.54,-0.2436,0.001,0.2446,1089.3416,0.129789,-379.8359,-379.82828,-379.82733,-379.86813,28.714
4075,H,1.4141,65.76,-0.2493,-0.0037,0.2455,1070.6616,0.116976,-399.71893,-399.71143,-399.71048,-399.75098,27.985
4076,H,0.6039,73.06,-0.2393,0.0138,0.2531,992.7858,0.143325,-363.8435,-363.83612,-363.83517,-363.87518,28.45
4077,H,1.826,61.91,-0.2506,-0.0098,0.2408,910.7777,0.108119,-415.82077,-415.81363,-415.81268,-415.85263,25.844
4078,H,1.2065,76.47,-0.2219,-0.0273,0.1946,1012.9217,0.143901,-363.849,-363.8417,-363.84076,-363.8804,28.242
4079,H,2.8095,74.1,-0.1886,-0.0087,0.1798,981.4502,0.132846,-379.9,-379.89276,-379.8918,-379.9312,27.957
4080,H,1.4587,69.55,-0.2317,-0.0362,0.1955,960.7782,0.11967,-399.76074,-399.7537,-399.75275,-399.79202,26.721
4081,H,0.9135,74.91,-0.2368,0.0158,0.2526,1043.6332,0.167456,-365.05148,-365.04385,-365.0429,-365.0833,29.867
4082,H,1.2591,68.17,-0.246,0.005,0.2509,995.5799,0.143373,-400.9643,-400.95688,-400.95593,-400.99597,28.335
4083,H,0.4903,68.06,-0.2378,0.008,0.2457,991.7163,0.14357,-400.96786,-400.9605,-400.95956,-400.99945,28.235
4084,H,1.569,60.66,-0.2564,-0.0056,0.2507,946.4867,0.119641,-436.8837,-436.8766,-436.87564,-436.91516,26.554
4085,H,3.5563,69.28,-0.202,-0.0566,0.1453,886.9405,0.096208,-394.75433,-394.74707,-394.74612,-394.78638,26.477
4086,H,3.1411,67.21,-0.2432,-0.0707,0.1725,903.6658,0.095481,-398.58655,-398.57965,-398.5787,-398.61777,25.502
4087,H,3.3316,65.73,-0.2331,-0.0718,0.1613,867.6964,0.095628,-398.58337,-398.57654,-398.5756,-398.61453,25.411
4088,H,0.8684,78.25,-0.2201,-0.0501,0.17,1153.4628,0.112207,-453.87268,-453.86462,-453.86368,-453.90533,30.444
4089,H,3.4969,63.58,-0.2195,-0.0705,0.149,869.5655,0.084545,-414.65698,-414.6502,-414.64926,-414.688,25.155
4090,H,2.811,63.92,-0.252,-0.0441,0.2079,892.5536,0.108073,-415.82733,-415.82025,-415.8193,-415.8589,26.125
4091,H,2.6513,66.32,-0.2314,-0.0658,0.1655,926.3203,0.118965,-399.78522,-399.7779,-399.77695,-399.817,27.238
4092,H,0.7666,77.86,-0.2279,-0.0417,0.1862,1211.1086,0.13584,-455.07654,-455.06808,-455.06714,-455.10974,32.048
4093,H,3.723,63.21,-0.235,-0.0393,0.1957,897.6932,0.108397,-415.85364,-415.8464,-415.84546,-415.8854,26.545
4094,H,4.0812,58.85,-0.2576,-0.0592,0.1984,872.408,0.095927,-435.7282,-435.72125,-435.7203,-435.7598,25.207
4095,H,1.987,62.74,-0.2208,-0.0713,0.1495,901.7129,0.107854,-415.819,-415.81177,-415.81082,-415.8507,26.516
4096,H,0.8947,74.18,-0.2308,-0.0469,0.1839,1186.2867,0.124727,-471.11118,-471.10278,-471.10184,-471.14432,31.337
4097,H,1.7934,59.37,-0.2398,-0.0795,0.1603,884.1224,0.094807,-435.69608,-435.68893,-435.688,-435.72778,25.662
