Molecule,=O,O,C,N,-O,=N,=N-O,-tBu,-C(=O)H,-C(=O)CH3,-C(=O)N,-N,-C#CH,-C#N,#N,-OEt,-OMe,-cPropyl,-X,F,-CF3,=NCH3,-NC(=O)CH3,-C(=O)O,-C(=O)OMe,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
O=C1ON=NC=N1,1.0,2.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1252,43.15,-0.2947,-0.1404,0.1543,541.8821,0.042699,-391.391111,-391.385777,-391.384833,-391.421267,17.906
O=CC1=CC=NN1,1.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9498,55.67,-0.2674,-0.0671,0.2003,673.0235,0.080965,-339.469166,-339.463642,-339.462697,-339.498604,19.679
O=CC1=CC=NO1,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4753,52.01,-0.2768,-0.0867,0.19,661.4002,0.067276,-359.31042,-359.304948,-359.304004,-359.33994,18.973
O=CC1=CN=NO1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4619,47.97,-0.2923,-0.1056,0.1867,645.3087,0.054751,-375.348487,-375.343035,-375.34209,-375.378044,18.459
O=CC1=CNN=C1,1.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6533,54.63,-0.2508,-0.0427,0.2081,693.134,0.080839,-339.467091,-339.461501,-339.460557,-339.496633,19.854
O=CC1=CNN=N1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6041,51.08,-0.2591,-0.0554,0.2037,667.2496,0.068221,-355.496901,-355.491416,-355.490472,-355.52641,19.066
O=CC1=CON=C1,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032,50.24,-0.2698,-0.0686,0.2013,681.5836,0.067405,-359.312853,-359.307358,-359.306414,-359.342422,18.999
O=CC1=CON=N1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.161,47.99,-0.2758,-0.0741,0.2017,657.5025,0.05408,-375.351387,-375.345698,-375.344753,-375.381075,19.226
O=CC1=NC=NO1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4151,46.88,-0.2942,-0.1053,0.1889,633.355,0.0557,-375.370023,-375.364682,-375.363738,-375.399489,17.899
O=CC1=NNC=C1,1.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3484,54.72,-0.2485,-0.0479,0.2005,685.5186,0.080584,-339.462492,-339.4569,-339.455956,-339.492037,19.915
O=CC1=NNN=C1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9175,50.39,-0.2632,-0.0653,0.198,666.0163,0.069124,-355.50199,-355.496567,-355.495623,-355.531479,18.637
O=CC1=NOC=C1,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8782,50.12,-0.271,-0.077,0.194,672.7102,0.067056,-359.306313,-359.300767,-359.299823,-359.336004,19.145
O=CC1=NOC=N1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5241,45.5,-0.2817,-0.0904,0.1913,644.7354,0.05559,-375.368783,-375.363411,-375.362467,-375.398327,17.984
O=CC1=NON=C1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5481,46.38,-0.2876,-0.0995,0.1881,657.1967,0.054908,-375.328197,-375.322761,-375.321817,-375.357852,18.263
O=CC1=NON=N1,1.0,2.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4031,42.8,-0.2995,-0.1159,0.1836,631.3044,0.042335,-391.370332,-391.364933,-391.363989,-391.399878,17.853
O=CN1C=CC=N1,1.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3084,55.29,-0.2698,-0.0508,0.2191,656.8842,0.080394,-339.467484,-339.462046,-339.461102,-339.496824,19.446
O=CN1C=CN=N1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1595,50.77,-0.2803,-0.074,0.2063,637.6405,0.06787,-355.497878,-355.492468,-355.491524,-355.527272,18.768
O=CN1C=NC=N1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7241,50.24,-0.291,-0.068,0.223,636.6098,0.068939,-355.525451,-355.520145,-355.5192,-355.55477,18.263
O=CN1C=NN=C1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4428,49.35,-0.2798,-0.0717,0.2081,642.5149,0.068393,-355.518342,-355.512942,-355.511998,-355.54774,18.643
O=CN1C=NN=N1,1.0,1.0,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7635,46.26,-0.3075,-0.091,0.2166,620.3852,0.055787,-371.535911,-371.530591,-371.529647,-371.565308,17.869
O=CN1N=CC=N1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2492,51.55,-0.2951,-0.0701,0.225,630.5913,0.068808,-355.508682,-355.503415,-355.502471,-355.537916,18.265
O=CN1N=CN=N1,1.0,1.0,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1057,46.89,-0.3037,-0.0944,0.2093,612.537,0.056315,-371.541704,-371.536471,-371.535526,-371.570981,17.556
O=CN1N=NN=N1,1.0,1.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.702,42.91,-0.3256,-0.1158,0.2099,598.0259,0.043303,-387.558484,-387.553265,-387.552321,-387.58781,17.092
OC1=C(O)C=NN1,0.0,2.0,3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3214,47.83,-0.207,0.0348,0.2418,624.3236,0.079639,-376.575382,-376.569108,-376.568164,-376.605221,22.904
OC1=CN=CN=N1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6498,50.52,-0.2466,-0.0757,0.1709,579.1534,0.069053,-355.508183,-355.503143,-355.502198,-355.536937,18.619
OC1=CN=NC=N1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2241,50.29,-0.2453,-0.0655,0.1798,581.2202,0.069261,-355.513035,-355.508016,-355.507072,-355.541787,18.491
OC1=CN=NN=N1,0.0,1.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2366,46.93,-0.2669,-0.0921,0.1749,562.4829,0.055581,-371.504707,-371.499605,-371.498661,-371.533604,18.347
OC1=NC(O)=NN1,0.0,2.0,2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0837,43.47,-0.226,0.0354,0.2615,638.3797,0.068999,-392.662003,-392.656302,-392.655357,-392.691229,21.127
OC1=NC=CN=N1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6923,50.41,-0.2417,-0.0763,0.1654,573.8035,0.069134,-355.510313,-355.5053,-355.504356,-355.539069,18.507
OC1=NC=NN=N1,0.0,1.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9988,46.16,-0.2619,-0.0944,0.1675,552.7752,0.056727,-371.537915,-371.532929,-371.531984,-371.566733,17.786
OC1=NN=C(O)N1,0.0,2.0,2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0015,43.75,-0.2207,0.0547,0.2753,644.8994,0.068384,-392.650949,-392.645218,-392.644274,-392.68019,21.373
OC1=NNC(=N)N1,0.0,1.0,2,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0759,49.13,-0.1974,0.0457,0.2431,657.7641,0.080647,-372.765028,-372.759054,-372.75811,-372.794502,22.518
OC1=NNC(=O)N1,1.0,2.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0981,44.0,-0.2178,0.0439,0.2616,638.7664,0.068553,-392.676111,-392.670152,-392.669208,-392.705853,21.422
OC1=NNC(=O)O1,1.0,3.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6831,40.61,-0.2404,0.0261,0.2664,612.4799,0.056089,-412.548009,-412.542359,-412.541415,-412.577533,19.952
OC1=NNN=C1O,0.0,2.0,2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4129,44.41,-0.2188,0.0032,0.2219,598.3531,0.068039,-392.627857,-392.621697,-392.620753,-392.657653,21.908
OC1=NOC(=N)O1,0.0,3.0,2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6402,42.23,-0.2533,0.0135,0.2668,613.2219,0.055405,-412.494644,-412.489287,-412.488342,-412.523776,19.522
OC1=NOC(=O)O1,1.0,4.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9731,37.46,-0.2814,0.0027,0.2842,594.9344,0.043532,-432.401755,-432.396621,-432.395677,-432.43074,18.291
OCC1=CC=NN1,0.0,1.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7765,55.48,-0.231,0.0251,0.2561,723.6032,0.104126,-340.647778,-340.641417,-340.640472,-340.678405,22.653
OCC1=CC=NO1,0.0,2.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1679,51.84,-0.2582,-0.0147,0.2435,723.2681,0.090919,-360.499243,-360.493094,-360.49215,-360.529707,21.682
OCC1=CN=NN1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8627,51.83,-0.2502,0.0003,0.2505,719.9692,0.091607,-356.680129,-356.673745,-356.672801,-356.711319,21.885
OCC1=CN=NO1,0.0,2.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1745,48.47,-0.2746,-0.0415,0.2331,703.8412,0.07826,-376.540686,-376.53454,-376.533596,-376.571056,21.361
OCC1=CNN=C1,0.0,1.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4855,54.98,-0.2386,0.0173,0.2558,748.1278,0.104344,-340.646073,-340.639749,-340.638805,-340.676943,22.578
OCC1=CNN=N1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3514,51.43,-0.2479,0.0036,0.2514,715.1474,0.091656,-356.683566,-356.677201,-356.676257,-356.714708,21.929
OCC1=CON=C1,0.0,2.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3071,51.11,-0.2596,-0.0155,0.2442,735.7169,0.091082,-360.495137,-360.489,-360.488056,-360.525683,21.588
OCC1=CON=N1,0.0,2.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0075,48.05,-0.2671,-0.0365,0.2306,702.6245,0.078119,-376.538277,-376.532007,-376.531063,-376.569087,21.34
OCC1=NC=NN1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,50.79,-0.2544,0.0172,0.2715,692.3367,0.092473,-356.712771,-356.706413,-356.705469,-356.744336,21.546
OCC1=NC=NO1,0.0,2.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737,47.37,-0.2859,-0.034,0.2519,683.7226,0.079215,-376.564691,-376.5586,-376.557655,-376.595223,20.626
OCC1=NNC=C1,0.0,1.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2726,55.45,-0.2399,0.025,0.2649,735.4575,0.103848,-340.646592,-340.640167,-340.639223,-340.677445,22.914
OCC1=NNC=N1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.123,50.74,-0.2596,0.0001,0.2597,695.0003,0.092814,-356.712228,-356.706155,-356.705211,-356.742719,21.338
OCC1=NNN=C1,0.0,1.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6896,51.18,-0.2564,-0.0018,0.2546,712.6826,0.09239,-356.688211,-356.681916,-356.680972,-356.719275,21.63
OCC1=NOC=C1,0.0,2.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6536,51.59,-0.2619,-0.0093,0.2526,720.1415,0.090699,-360.496984,-360.490747,-360.489803,-360.52764,21.848
OCC1=NOC=N1,0.0,2.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1685,47.11,-0.2846,-0.0343,0.2503,683.3589,0.079608,-376.563238,-376.557315,-376.556371,-376.593512,20.437
OCC1=NON=C1,0.0,2.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3064,47.81,-0.2888,-0.044,0.2448,700.1319,0.078554,-376.521083,-376.514924,-376.51398,-376.551913,20.953
OCC1=NON=N1,0.0,2.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922,44.22,-0.3046,-0.0789,0.2257,670.7022,0.066444,-392.565188,-392.559225,-392.55828,-392.595658,20.149
ON=C1C=CNC=C1,0.0,1.0,5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0801,72.24,-0.1707,0.0003,0.1711,930.9477,0.109378,-378.713196,-378.706283,-378.705338,-378.744036,26.577
ON=C1C=COC=C1,0.0,2.0,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1191,67.42,-0.198,-0.0184,0.1797,912.1028,0.09696,-398.579695,-398.573169,-398.572225,-398.610316,24.876
ON=C1C=CNN=C1,0.0,1.0,4,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8286,68.93,-0.1864,-0.0289,0.1575,900.2248,0.097542,-394.740014,-394.733273,-394.732329,-394.770823,25.456
ON=C1C=CON=C1,0.0,2.0,4,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7744,64.54,-0.2178,-0.054,0.1638,886.0599,0.084181,-414.586179,-414.579681,-414.578737,-414.616878,24.302
ON=C1C=NON=C1,0.0,2.0,3,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5253,61.38,-0.2438,-0.0741,0.1697,864.7768,0.071577,-430.598508,-430.592081,-430.591137,-430.629233,23.658
CC(=NO)C(C)(C)C,0.0,1.0,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546,77.68,-0.2396,0.019,0.2586,1098.6216,0.185185,-366.238594,-366.228499,-366.227555,-366.272699,37.732
CC(=NO)C(C)(C)O,0.0,2.0,5,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3718,70.74,-0.2429,0.013,0.2558,1052.7565,0.161039,-402.167398,-402.15732,-402.156375,-402.201781,36.845
CC(=O)CC(C)=NO,1.0,2.0,5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0226,68.73,-0.236,-0.0263,0.2096,1137.3816,0.138424,-400.98659,-400.976999,-400.976055,-401.021999,33.078
CC(CC(C)=NO)=NO,0.0,2.0,5,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,79.11,-0.2435,-0.0062,0.2373,1551.2606,0.155061,-456.274359,-456.263447,-456.262503,-456.31175,38.018
